vm,vc,ts,sp,id,hot,rad,,,
3,14.66779932,500.4,10,25,28.54751672,27.78148627,,,
3,14.66907293,500.5,10,25,28.54634657,27.78029496,,,
3,14.67033225,500.6,10,25,28.54517709,27.77910464,,,
3,14.67157741,500.7,10,25,28.54400829,27.7779153,,,
3,14.67280855,500.8,10,25,28.54284017,27.77672695,,,
3,14.6740258,500.9,10,25,28.54167272,27.77553958,,,
3,14.67522929,501,10,25,28.54050596,27.7743532,,,
3,14.67641915,501.1,10,25,28.53933988,27.77316779,,,
3,14.6775955,501.2,10,25,28.53817449,27.77198337,,,
3,14.67875848,501.3,10,25,28.53700978,27.77079992,,,
3,14.67990821,501.4,10,25,28.53584577,27.76961746,,,
3,14.68104481,501.5,10,25,28.53468244,27.76843597,,,
3,14.68216841,501.6,10,25,28.5335198,27.76725545,,,
3,14.68327912,501.7,10,25,28.53235785,27.76607591,,,
3,14.68437708,501.8,10,25,28.5311966,27.76489734,,,
3,14.6854624,501.9,10,25,28.53003605,27.76371974,,,
3,14.6865352,502,10,25,28.52887619,27.76254312,,,
3,14.6875956,502.1,10,25,28.52771703,27.76136746,,,
3,14.68864371,502.2,10,25,28.52655858,27.76019277,,,
3,14.68967965,502.3,10,25,28.52540082,27.75901905,,,
3,14.69070353,502.4,10,25,28.52424377,27.7578463,,,
3,14.69171547,502.5,10,25,28.52308742,27.75667451,,,
3,14.69271559,502.6,10,25,28.52193178,27.75550368,,,
3,14.69370398,502.7,10,25,28.52077684,27.75433382,,,
3,14.69468076,502.8,10,25,28.51962261,27.75316492,,,
3,14.69564605,502.9,10,25,28.5184691,27.75199697,,,
3,14.69659995,503,10,25,28.51731629,27.75082999,,,
3,14.69754256,503.1,10,25,28.5161642,27.74966397,,,
3,14.69847399,503.2,10,25,28.51501282,27.7484989,,,
3,14.69939436,503.3,10,25,28.51386215,27.74733479,,,
3,14.70030376,503.4,10,25,28.5127122,27.74617163,,,
3,14.70120229,503.5,10,25,28.51156297,27.74500943,,,
3,14.70209006,503.6,10,25,28.51041446,27.74384818,,,
3,14.70296717,503.7,10,25,28.50926667,27.74268788,,,
3,14.70383372,503.8,10,25,28.50811959,27.74152853,,,
3,14.70468982,503.9,10,25,28.50697324,27.74037013,,,
3,14.70553555,504,10,25,28.50582762,27.73921268,,,
3,14.70637101,504.1,10,25,28.50468271,27.73805618,,,
3,14.70719632,504.2,10,25,28.50353854,27.73690063,,,
3,14.70801155,504.3,10,25,28.50239508,27.73574601,,,
3,14.7088168,504.4,10,25,28.50125236,27.73459235,,,
3,14.70961218,504.5,10,25,28.50011037,27.73343962,,,
3,14.71039776,504.6,10,25,28.4989691,27.73228784,,,
3,14.71117366,504.7,10,25,28.49782856,27.731137,,,
3,14.71193994,504.8,10,25,28.49668876,27.7299871,,,
3,14.71269672,504.9,10,25,28.49554969,27.72883814,,,
3,14.71344407,505,10,25,28.49441135,27.72769011,,,
3,14.71418209,505.1,10,25,28.49327375,27.72654302,,,
3,14.71491086,505.2,10,25,28.49213688,27.72539687,,,
3,14.71563047,505.3,10,25,28.49100075,27.72425166,,,
3,14.71634101,505.4,10,25,28.48986535,27.72310737,,,
